SUCONAME,SUBDSTCODE,DISTCODE,DISTNAME,SUBDISTRCT,SUCOCODE,REGION
Biceli,604,14,Atauro,Atauro,60405,3
Beloi,604,14,Atauro,Atauro,60403,3
Macadade,604,14,Atauro,Atauro,60404,3
Maquili,604,14,Atauro,Atauro,60402,3
Atauro Vila/Maumeta,604,14,Atauro,Atauro,60401,3
Parlamento,902,9,Lautem,Lautem,90209,1
Mehara,905,9,Lautem,Tutuala,90501,1
Com,902,9,Lautem,Lautem,90202,1
Tutuala,905,9,Lautem,Tutuala,90502,1
Pairara,902,9,Lautem,Lautem,90208,1
Baduro,902,9,Lautem,Lautem,90201,1
Maina II,902,9,Lautem,Lautem,90206,1
Serelau,902,9,Lautem,Lautem,90210,1
Bauro,901,9,Lautem,Lospalos,90101,1
Daudare,902,9,Lautem,Lautem,90203,1
Ililai,902,9,Lautem,Lautem,90205,1
Raça,901,9,Lautem,Lospalos,90109,1
Euquisi,902,9,Lautem,Lautem,90204,1
Tutuala,905,9,Lautem,Tutuala,90502,1
Caibada,301,3,Baucau,Baucau,30111,1
Trilolo,301,3,Baucau,Baucau,30109,1
Samalari,302,3,Baucau,Laga,30204,1
Nunira,302,3,Baucau,Laga,30206,1
Maina II,902,9,Lautem,Lautem,90207,1
Fuiloro,901,9,Lautem,Lospalos,90102,1
Bahu,301,3,Baucau,Baucau,30101,1
Buruma,301,3,Baucau,Baucau,30103,1
Triloca,301,3,Baucau,Baucau,30108,1
Caibada,301,3,Baucau,Baucau,30111,1
Bucoli,301,3,Baucau,Baucau,30102,1
Soba,302,3,Baucau,Laga,30203,1
Seical,301,3,Baucau,Baucau,30110,1
Home,901,9,Lautem,Lospalos,90103,1
Saelari,302,3,Baucau,Laga,30208,1
Vemase,305,3,Baucau,Vemase,30501,1
Tequino Mata,302,3,Baucau,Laga,30202,1
Umacaduac,1103,11,Manatuto,Laclo,110302,2
Muapitine,901,9,Lautem,Lospalos,90108,1
Buibau,301,3,Baucau,Baucau,30104,1
Sau,1101,11,Manatuto,Manatuto,110104,2
Libagua,302,3,Baucau,Laga,30207,1
Duyung (Sereia),603,6,Dili,Metinaro,60302,3
Wairoce,904,9,Lautem,Luro,90406,1
Afabubu,904,9,Lautem,Luro,90401,1
Lifau,1102,11,Manatuto,Laleia,110201,2
Sagadati,302,3,Baucau,Laga,30205,1
Ostico,305,3,Baucau,Vemase,30502,1
Souro,901,9,Lautem,Lospalos,90110,1
Cotamutu,904,9,Lautem,Luro,90403,1
Leuro,901,9,Lautem,Lospalos,90105,1
Lacawa,904,9,Lautem,Luro,90404,1
Samalari,301,3,Baucau,Baucau,30106,1
Ma'abat,1101,11,Manatuto,Manatuto,110103,2
Namanei,303,3,Baucau,Quelicai,30314,1
Wailili,301,3,Baucau,Baucau,30105,1
Luro,904,9,Lautem,Luro,90405,1
Afaca,303,3,Baucau,Quelicai,30310,1
Iliheu,1101,11,Manatuto,Manatuto,110105,2
Aiteas,1101,11,Manatuto,Manatuto,110102,2
Hera,606,6,Dili,Cristo Rei,60604,3
Sabuli,603,6,Dili,Metinaro,60301,3
Sabuli,603,6,Dili,Metinaro,60301,3
Gariuai,301,3,Baucau,Baucau,30107,1
Meti Aut,606,6,Dili,Cristo Rei,60606,3
Caicua,305,3,Baucau,Vemase,30507,1
Ailili,1101,11,Manatuto,Manatuto,110106,2
Lacumesac,1103,11,Manatuto,Laclo,110301,2
Lavateri,304,3,Baucau,Baguia,30409,1
Guruca,303,3,Baucau,Quelicai,30309,1
Atelari,302,3,Baucau,Laga,30201,1
Haturalan,1102,11,Manatuto,Laleia,110202,2
Comoro,605,6,Dili,Dom Aleixo,60503,3
Macalaco,303,3,Baucau,Quelicai,30305,1
Fatuhada,605,6,Dili,Dom Aleixo,60501,3
Bidau Santana,606,6,Dili,Cristo Rei,60607,3
Cacavem,901,9,Lautem,Lospalos,90104,1
Bidau Lecidere,602,6,Dili,Nain Feto,60205,3
Kampung Alor,605,6,Dili,Dom Aleixo,60502,3
Motael,601,6,Dili,Vera Cruz,60106,3
Uatu-Lari,305,3,Baucau,Vemase,30506,1
Acadiru Hun,602,6,Dili,Nain Feto,60202,3
Lore II,901,9,Lautem,Lospalos,90107,1
Uaigae,305,3,Baucau,Vemase,30505,1
Gricenfor,602,6,Dili,Nain Feto,60206,3
Lore I,901,9,Lautem,Lospalos,90106,1
Abafala,303,3,Baucau,Quelicai,30315,1
Colmera,601,6,Dili,Vera Cruz,60105,3
Bairro Pite,605,6,Dili,Dom Aleixo,60504,3
Camea,606,6,Dili,Cristo Rei,60603,3
Culu Hun,606,6,Dili,Cristo Rei,60601,3
Becora,606,6,Dili,Cristo Rei,60602,3
Waitame,303,3,Baucau,Quelicai,30304,1
Tibar,801,8,Liquiçá,Bazartete,80103,4
Santa Cruz,602,6,Dili,Nain Feto,60201,3
Vila Verde,601,6,Dili,Vera Cruz,60102,3
Caicoli,601,6,Dili,Vera Cruz,60104,3
Bemori,602,6,Dili,Nain Feto,60203,3
Uacala,304,3,Baucau,Baguia,30410,1
Suco-Liurai,203,2,Aileu,Remexio,20303,3
Baricafa,904,9,Lautem,Luro,90402,1
Motaulun,801,8,Liquiçá,Bazartete,80104,4
Defa Uassi,304,3,Baucau,Baguia,30408,1
Macarenhas,601,6,Dili,Vera Cruz,60103,3
Lahane Oriental,602,6,Dili,Nain Feto,60204,3
Hohorai,1103,11,Manatuto,Laclo,110304,2
Ulmera,801,8,Liquiçá,Bazartete,80109,4
Loilubo,305,3,Baucau,Vemase,30504,1
Uma Naruc,1103,11,Manatuto,Laclo,110303,2
Lauhata,801,8,Liquiçá,Bazartete,80106,4
Baguia,303,3,Baucau,Quelicai,30301,1
Lahane Ocidental,601,6,Dili,Vera Cruz,60101,3
Samalari,304,3,Baucau,Baguia,30407,1
Acumau,203,2,Aileu,Remexio,20301,3
Fuat,903,9,Lautem,Iliomar,90303,1
Cairui,1102,11,Manatuto,Laleia,110203,2
Uma Ana Ico,306,3,Baucau,Venilale,30605,1
Uma Ana Ulo,306,3,Baucau,Venilale,30606,1
Dare,601,6,Dili,Vera Cruz,60107,3
Ossoala,305,3,Baucau,Vemase,30503,1
Talitu,204,2,Aileu,Laulara,20402,3
Bado Ho'o,306,3,Baucau,Venilale,30601,1
Maumeta,801,8,Liquiçá,Bazartete,80108,4
Dato,802,8,Liquiçá,Liquiçá,80201,4
Tulataqueo,203,2,Aileu,Remexio,20302,3
Balibar,606,6,Dili,Cristo Rei,60605,3
Letemuno,303,3,Baucau,Quelicai,30303,1
Bualale,303,3,Baucau,Quelicai,30306,1
Locoliu,303,3,Baucau,Quelicai,30302,1
Haeconi,304,3,Baucau,Baguia,30404,1
Uaibobo,1302,13,Viqueque,Ossu,130201,1
Baha Mori,306,3,Baucau,Venilale,30602,1
Loidahar,802,8,Liquiçá,Liquiçá,80202,4
Baha Mori,306,3,Baucau,Venilale,30602,1
Cotolau,204,2,Aileu,Laulara,20401,3
Cainliu,903,9,Lautem,Iliomar,90302,1
Alaua Leten,304,3,Baucau,Baguia,30403,1
Vatuvou,803,8,Liquiçá,Maubara,80303,4
Vaviquinia,803,8,Liquiçá,Maubara,80306,4
Lari Sula,304,3,Baucau,Baguia,30406,1
Alaua Craic,304,3,Baucau,Baguia,30402,1
Fatumasi,801,8,Liquiçá,Bazartete,80101,4
Fahilebo,801,8,Liquiçá,Bazartete,80102,4
Sanana'in,1106,11,Manatuto,Laclubar,110606,2
Fatisi,204,2,Aileu,Laulara,20405,3
Lelalai,303,3,Baucau,Quelicai,30307,1
Metagou,801,8,Liquiçá,Bazartete,80105,4
Tohumeta,204,2,Aileu,Laulara,20404,3
Laisorolai de Baixo,303,3,Baucau,Quelicai,30312,1
Abo,303,3,Baucau,Quelicai,30308,1
Uataco,306,3,Baucau,Venilale,30608,1
Madabeno,204,2,Aileu,Laulara,20403,3
Cribas,1101,11,Manatuto,Manatuto,110101,2
Luculai,802,8,Liquiçá,Liquiçá,80204,4
Gugleur,803,8,Liquiçá,Maubara,80307,4
Hatuquessi,802,8,Liquiçá,Liquiçá,80205,4
Laisorolai de Cima,303,3,Baucau,Quelicai,30311,1
Fatulia,306,3,Baucau,Venilale,30607,1
Osso-Huna,304,3,Baucau,Baguia,30405,1
Saboria,201,2,Aileu,Aileu vila,20110,3
Maubaralissa,803,8,Liquiçá,Maubara,80305,4
Uailaha,306,3,Baucau,Venilale,30603,1
Faturasa,203,2,Aileu,Remexio,20304,3
Leorema,801,8,Liquiçá,Bazartete,80107,4
Fadabloco,203,2,Aileu,Remexio,20305,3
Darulete,802,8,Liquiçá,Liquiçá,80203,4
Vatuboro,803,8,Liquiçá,Maubara,80304,4
Afaloicai,1301,13,Viqueque,Uatucarbau,130104,1
Batara,1106,11,Manatuto,Laclubar,110604,2
Fahisoi,203,2,Aileu,Remexio,20308,3
Aisirimou,201,2,Aileu,Aileu vila,20101,3
Taraço,701,7,Ermera,Railaco,70109,3
Bado Ho'o,306,3,Baucau,Venilale,30601,1
Samalete,701,7,Ermera,Railaco,70107,3
Lihu,701,7,Ermera,Railaco,70101,3
Afaloicai,304,3,Baucau,Baguia,30401,1
Lissadila,803,8,Liquiçá,Maubara,80301,4
Loi Ulu,1301,13,Viqueque,Uatucarbau,130106,1
Nahareca,1302,13,Viqueque,Ossu,130203,1
Bahatata,1301,13,Viqueque,Uatucarbau,130105,1
Seloi Craic,201,2,Aileu,Aileu vila,20109,3
Uaiolo,306,3,Baucau,Venilale,30604,1
Afaloicai,1303,13,Viqueque,Watulari,130306,1
Hautoho,203,2,Aileu,Remexio,20307,3
Iliomar I,903,9,Lautem,Iliomar,90304,1
Maumeta,203,2,Aileu,Remexio,20306,3
Builale,1302,13,Viqueque,Ossu,130202,1
Railaco Craic,701,7,Ermera,Railaco,70105,3
Leoteala,802,8,Liquiçá,Liquiçá,80207,4
Fahiria,201,2,Aileu,Aileu vila,20103,3
Deleco,701,7,Ermera,Railaco,70108,3
Railaco Leten,701,7,Ermera,Railaco,70106,3
Funar,1106,11,Manatuto,Laclubar,110602,2
Maluro,303,3,Baucau,Quelicai,30313,1
Laline,1305,13,Viqueque,Lacluta,130501,1
Açumano,802,8,Liquiçá,Liquiçá,80206,4
Guiço,803,8,Liquiçá,Maubara,80302,4
Liaruca,1302,13,Viqueque,Ossu,130209,1
Babulo,1303,13,Viqueque,Watulari,130305,1
Tocoluli,701,7,Ermera,Railaco,70103,3
Uataco,306,3,Baucau,Venilale,30608,1
Ossu de Cima,1302,13,Viqueque,Ossu,130204,1
Fatuquero,701,7,Ermera,Railaco,70104,3
Fahisoi,202,2,Aileu,Liquidoe,20206,3
Tirilolo,903,9,Lautem,Iliomar,90306,1
Faturilau,202,2,Aileu,Liquidoe,20204,3
Bibileo,1304,13,Viqueque,Viqueque,130404,1
Matata,701,7,Ermera,Railaco,70102,3
Seloi Malere,201,2,Aileu,Aileu vila,20108,3
Vessoru,1303,13,Viqueque,Watulari,130304,1
Urahou,705,7,Ermera,Hatolia,70509,3
Irabin de Cima,1301,13,Viqueque,Uatucarbau,130102,1
Acubilitoho,202,2,Aileu,Liquidoe,20202,3
Barique,1105,11,Manatuto,Barique/Natarbora,110504,2
Manucasa,202,2,Aileu,Liquidoe,20207,3
Irabin de Baixo,1301,13,Viqueque,Uatucarbau,130101,1
Namoleso,202,2,Aileu,Liquidoe,20201,3
Uani Uma,1301,13,Viqueque,Uatucarbau,130103,1
Ponilala,702,7,Ermera,Ermera,70202,3
Bereleu,202,2,Aileu,Liquidoe,20205,3
Mau-Ubu,705,7,Ermera,Hatolia,70510,3
Fatumaquerec,1106,11,Manatuto,Laclubar,110605,2
Ailebere,903,9,Lautem,Iliomar,90301,1
Lissapat,705,7,Ermera,Hatolia,70511,3
Iliomar II,903,9,Lautem,Iliomar,90305,1
Riheu,702,7,Ermera,Ermera,70207,3
Lauala,702,7,Ermera,Ermera,70208,3
Poetete,702,7,Ermera,Ermera,70201,3
Uabubo,1302,13,Viqueque,Ossu,130208,1
Suco Liurai,201,2,Aileu,Aileu vila,20111,3
Asulau,705,7,Ermera,Hatolia,70503,3
Fatubessi,705,7,Ermera,Hatolia,70513,3
Talimoro,702,7,Ermera,Ermera,70203,3
Orlalan,1106,11,Manatuto,Laclubar,110601,2
Fatumaquerec,1106,11,Manatuto,Laclubar,110605,2
Hoholau,201,2,Aileu,Aileu vila,20107,3
Aidabaleten,404,4,Bobonaro,Atabae,40401,4
Fatucalo,1004,10,Manufahi,Turiscai,100411,2
Rairobo,404,4,Bobonaro,Atabae,40403,4
Betulau,202,2,Aileu,Liquidoe,20203,3
Fatubolu,705,7,Ermera,Hatolia,70512,3
Bandudato,201,2,Aileu,Aileu vila,20102,3
Mirtutu,702,7,Ermera,Ermera,70204,3
Humboe,702,7,Ermera,Ermera,70206,3
Ossorua,1302,13,Viqueque,Ossu,130206,1
Uagia,1302,13,Viqueque,Ossu,130205,1
Atabae,404,4,Bobonaro,Atabae,40402,4
Manelima,1106,11,Manatuto,Laclubar,110603,2
Maulau,103,1,Ainaro,Maubisse,10306,2
Tirilolo,903,9,Lautem,Iliomar,90306,1
Loi-Huno,1302,13,Viqueque,Ossu,130207,1
Lesuata,1004,10,Manufahi,Turiscai,100404,2
Leguimea,702,7,Ermera,Ermera,70205,3
Manusae,705,7,Ermera,Hatolia,70507,3
Estado,702,7,Ermera,Ermera,70210,3
Dilor,1305,13,Viqueque,Lacluta,130504,1
Purugoa,402,4,Bobonaro,Cailaco,40205,4
Matahoi,1303,13,Viqueque,Watulari,130303,1
Bahalarauain,1304,13,Viqueque,Viqueque,130402,1
Eraulo,703,7,Ermera,Letefoho,70307,3
Ailelo,705,7,Ermera,Hatolia,70504,3
Coliate-Leotelo,705,7,Ermera,Hatolia,70502,3
Uaitame,1303,13,Viqueque,Watulari,130302,1
Lahae,201,2,Aileu,Aileu vila,20105,3
Caimauc,1004,10,Manufahi,Turiscai,100403,2
Fatu-Besi,103,1,Ainaro,Maubisse,10309,2
Ahic,1305,13,Viqueque,Lacluta,130503,1
Liurai,1004,10,Manufahi,Turiscai,100405,2
Lausi,201,2,Aileu,Aileu vila,20106,3
Goulolo,703,7,Ermera,Letefoho,70306,3
Manufahi,1104,11,Manatuto,Soibada,110405,2
Fatubosa,201,2,Aileu,Aileu vila,20104,3
Leo Hat,1104,11,Manatuto,Soibada,110402,2
Raimerhei,702,7,Ermera,Ermera,70209,3
Hatolia,705,7,Ermera,Hatolia,70508,3
Matorec,1004,10,Manufahi,Turiscai,100407,2
Manumera,1004,10,Manufahi,Turiscai,100406,2
Macadique,1303,13,Viqueque,Watulari,130301,1
Manelobas,103,1,Ainaro,Maubisse,10302,2
Haupu,703,7,Ermera,Letefoho,70302,3
Caraubalo,1304,13,Viqueque,Viqueque,130407,1
Manehat,1105,11,Manatuto,Barique/Natarbora,110505,2
Samara,705,7,Ermera,Hatolia,70506,3
Maubisse,103,1,Ainaro,Maubisse,10301,2
Manlala,1104,11,Manatuto,Soibada,110404,2
Ducurai,703,7,Ermera,Letefoho,70301,3
Hatugau,703,7,Ermera,Letefoho,70308,3
Edi,103,1,Ainaro,Maubisse,10305,2
Uai-Mori,1304,13,Viqueque,Viqueque,130406,1
Beremana,1004,10,Manufahi,Turiscai,100402,2
Aitemua,1004,10,Manufahi,Turiscai,100401,2
Hataz,404,4,Bobonaro,Atabae,40404,4
Fatumacerec,1104,11,Manatuto,Soibada,110403,2
Suco Liurai,103,1,Ainaro,Maubisse,10308,2
Manetu,103,1,Ainaro,Maubisse,10303,2
Foholau,1004,10,Manufahi,Turiscai,100410,2
Leimea Sorimbalu,705,7,Ermera,Hatolia,70501,3
Atudara,402,4,Bobonaro,Cailaco,40204,4
Aitutu,103,1,Ainaro,Maubisse,10304,2
Uma Uain Leten,1304,13,Viqueque,Viqueque,130408,1
Caicasa,1003,10,Manufahi,Fatuberliu,100305,2
Abat Oan,1105,11,Manatuto,Barique/Natarbora,110503,2
Uma Tolu,1305,13,Viqueque,Lacluta,130502,1
Leimeacraic,705,7,Ermera,Hatolia,70505,3
Catrai-Craic,703,7,Ermera,Letefoho,70304,3
Leolima,403,4,Bobonaro,Balibo,40304,4
Uma Uain Craic,1304,13,Viqueque,Viqueque,130401,1
Samoro,1104,11,Manatuto,Soibada,110401,2
Horai-Quic,103,1,Ainaro,Maubisse,10307,2
Catrai Leten,703,7,Ermera,Letefoho,70305,3
Dau Udu,402,4,Bobonaro,Cailaco,40206,4
Orana,1004,10,Manufahi,Turiscai,100409,2
Meligo,402,4,Bobonaro,Cailaco,40203,4
Uma Quic,1304,13,Viqueque,Viqueque,130403,1
Leimea Leten,704,7,Ermera,Atsabe,70410,3
Sanirin,403,4,Bobonaro,Balibo,40305,4
Nuno-Mogue,102,1,Ainaro,Hatu-Builico,10202,2
Mulo,102,1,Ainaro,Hatu-Builico,10201,2
Mindelo,1004,10,Manufahi,Turiscai,100408,2
Fatucahi,1003,10,Manufahi,Fatuberliu,100304,2
Ritabou,401,4,Bobonaro,Maliana,40103,4
Fahinehan,1003,10,Manufahi,Fatuberliu,100303,2
Beboi Leten,704,7,Ermera,Atsabe,70412,3
Lauana,703,7,Ermera,Letefoho,70303,3
Guenu Lai,402,4,Bobonaro,Cailaco,40207,4
Luca,1304,13,Viqueque,Viqueque,130410,1
Clacuc,1003,10,Manufahi,Fatuberliu,100302,2
Watu Dere,1304,13,Viqueque,Viqueque,130405,1
Bubususo,1003,10,Manufahi,Fatuberliu,100301,2
Holarua,1001,10,Manufahi,Same,100102,2
Maluru,1304,13,Viqueque,Viqueque,130409,1
Laubono,704,7,Ermera,Atsabe,70408,3
Tutuluro,1001,10,Manufahi,Same,100108,2
Baboi Craic,704,7,Ermera,Atsabe,70403,3
Goulolo,402,4,Bobonaro,Cailaco,40202,4
Atadame/Malabe,704,7,Ermera,Atsabe,70409,3
Tiarlelo,704,7,Ermera,Atsabe,70407,3
Manapa,402,4,Bobonaro,Cailaco,40208,4
Laclo,704,7,Ermera,Atsabe,70411,3
Bibileo,1304,13,Viqueque,Viqueque,130404,1
Paramin,704,7,Ermera,Atsabe,70401,3
Mau-Chiga,102,1,Ainaro,Hatu-Builico,10203,2
Atudara,402,4,Bobonaro,Cailaco,40204,4
Manutasi,101,1,Ainaro,Ainaro,10104,2
Batumanu,704,7,Ermera,Atsabe,70406,3
Tapo/Memo,401,4,Bobonaro,Maliana,40106,4
Batugade,403,4,Bobonaro,Balibo,40306,4
Balibo Vila,403,4,Bobonaro,Balibo,40301,4
Atara,704,7,Ermera,Atsabe,70402,3
Ainaro,101,1,Ainaro,Ainaro,10101,2
Dotic,1002,10,Manufahi,Alas,100202,2
Odomau,401,4,Bobonaro,Maliana,40104,4
Aituha,1002,10,Manufahi,Alas,100201,2
Caicasa,1003,10,Manufahi,Fatuberliu,100305,2
Aubeon,1105,11,Manatuto,Barique/Natarbora,110501,2
Raiheu,402,4,Bobonaro,Cailaco,40201,4
Uma Boco,1105,11,Manatuto,Barique/Natarbora,110502,2
Lasaun,704,7,Ermera,Atsabe,70405,3
Leohito,403,4,Bobonaro,Balibo,40302,4
Soilesu,406,4,Bobonaro,Bobonaro,40614,4
Letefoho,1001,10,Manufahi,Same,100101,2
Mau-Ulo,101,1,Ainaro,Ainaro,10106,2
Obulo,704,7,Ermera,Atsabe,70404,3
Ilat-Laun,406,4,Bobonaro,Bobonaro,40618,4
Raifun,401,4,Bobonaro,Maliana,40102,4
Taitudac,1002,10,Manufahi,Alas,100203,2
Fatucahi,1003,10,Manufahi,Fatuberliu,100304,2
Cowa,403,4,Bobonaro,Balibo,40303,4
Colimau,406,4,Bobonaro,Bobonaro,40605,4
Soro,101,1,Ainaro,Ainaro,10103,2
Lahomea,401,4,Bobonaro,Maliana,40101,4
Male-Ubu,406,4,Bobonaro,Bobonaro,40612,4
Raifun,401,4,Bobonaro,Maliana,40102,4
Atu-Aben,406,4,Bobonaro,Bobonaro,40602,4
Holsa,401,4,Bobonaro,Maliana,40105,4
Lourba,406,4,Bobonaro,Bobonaro,40607,4
Cotabot,406,4,Bobonaro,Bobonaro,40606,4
Daisua,1001,10,Manufahi,Same,100105,2
Mau-Nuno,101,1,Ainaro,Ainaro,10107,2
Babulo,1001,10,Manufahi,Same,100103,2
Tebabui,406,4,Bobonaro,Bobonaro,40617,4
Rotuto,1001,10,Manufahi,Same,100107,2
Malilait,406,4,Bobonaro,Bobonaro,40610,4
Ucecai,507,5,Covalima,Zumalai,50707,4
Leolima,104,1,Ainaro,Hatu-Udo,10401,2
Mahaquidan,1002,10,Manufahi,Alas,100204,2
Oe-leu,406,4,Bobonaro,Bobonaro,40613,4
Grotu,1001,10,Manufahi,Same,100106,2
Carabau,406,4,Bobonaro,Bobonaro,40604,4
Bobonaro,406,4,Bobonaro,Bobonaro,40603,4
Saburai,401,4,Bobonaro,Maliana,40107,4
Suro-Craic,101,1,Ainaro,Ainaro,10102,2
Ai-Assa,406,4,Bobonaro,Bobonaro,40601,4
Foho-ai-Lico,104,1,Ainaro,Hatu-Udo,10402,2
Tapo,406,4,Bobonaro,Bobonaro,40616,4
Cassa,101,1,Ainaro,Ainaro,10105,2
Zulo,507,5,Covalima,Zumalai,50702,4
Mape,507,5,Covalima,Zumalai,50705,4
Lour,406,4,Bobonaro,Bobonaro,40608,4
Sibuni,406,4,Bobonaro,Bobonaro,40615,4
Leber,406,4,Bobonaro,Bobonaro,40609,4
Lour,507,5,Covalima,Zumalai,50703,4
Betano,1001,10,Manufahi,Same,100104,2
Uma Berloic,1002,10,Manufahi,Alas,100205,2
Gildapil,405,4,Bobonaro,Lolotoe,40507,4
Molop,406,4,Bobonaro,Bobonaro,40611,4
Lontas,405,4,Bobonaro,Lolotoe,40506,4
Lepo,507,5,Covalima,Zumalai,50706,4
Fatuleto,507,5,Covalima,Zumalai,50704,4
Zulo,507,5,Covalima,Zumalai,50702,4
Guda,405,4,Bobonaro,Lolotoe,40503,4
Tashilin,507,5,Covalima,Zumalai,50708,4
Lebos,405,4,Bobonaro,Lolotoe,40505,4
Deudet,405,4,Bobonaro,Lolotoe,40504,4
Beco,505,5,Covalima,Suai,50501,4
Raimea,507,5,Covalima,Zumalai,50701,4
Lupal,405,4,Bobonaro,Lolotoe,40502,4
Opa,405,4,Bobonaro,Lolotoe,40501,4
Holpilat,504,5,Covalima,Maucatar,50401,4
Nipani,1201,12,Oecusse,Pante Macasar,120101,5
Fatumea,502,5,Covalima,Fatumean,50201,4
Fatululic,501,5,Covalima,Fatululic,50101,4
Taroman,501,5,Covalima,Fatululic,50102,4
Belulic Leten,502,5,Covalima,Fatumean,50202,4
Costa,1201,12,Oecusse,Pante Macasar,120104,5
Labarai,505,5,Covalima,Suai,50505,4
Dato Rua,503,5,Covalima,Forohem,50303,4
Lifau,1201,12,Oecusse,Pante Macasar,120102,5
Dato Tolu,503,5,Covalima,Forohem,50304,4
Belecasac,504,5,Covalima,Maucatar,50404,4
Lactos,503,5,Covalima,Forohem,50302,4
Lalisuc,1201,12,Oecusse,Pante Macasar,120106,5
Taiboco,1201,12,Oecusse,Pante Macasar,120105,5
Ogues,504,5,Covalima,Maucatar,50402,4
Suni-Ufe,1202,12,Oecusse,Nitibe,120203,5
Bobocase,1201,12,Oecusse,Pante Macasar,120107,5
Cunha,1201,12,Oecusse,Pante Macasar,120103,5
Nanu,502,5,Covalima,Fatumean,50203,4
Fohoren,503,5,Covalima,Forohem,50301,4
Matai,504,5,Covalima,Maucatar,50403,4
Camenaça,505,5,Covalima,Suai,50504,4
Naimeco,1201,12,Oecusse,Pante Macasar,120108,5
Debos,505,5,Covalima,Suai,50502,4
Usi-Taco,1202,12,Oecusse,Nitibe,120201,5
Bobometo,1203,12,Oecusse,Oesilo,120301,5
Foholulic,506,5,Covalima,Tilomar,50601,4
Bene-Ufe,1202,12,Oecusse,Nitibe,120202,5
Lalawa,506,5,Covalima,Tilomar,50602,4
Lela-Ufe,1202,12,Oecusse,Nitibe,120204,5
Usi-Tacae,1203,12,Oecusse,Oesilo,120303,5
Maudemo,506,5,Covalima,Tilomar,50603,4
Suai Loro,505,5,Covalima,Suai,50503,4
Casabauc,506,5,Covalima,Tilomar,50604,4
Banafi,1202,12,Oecusse,Nitibe,120205,5
Usi-Taqueno,1203,12,Oecusse,Oesilo,120302,5
Malelat,1204,12,Oecusse,Passabe,120402,5
Abani,1204,12,Oecusse,Passabe,120401,5
